id,ts,sheet,row,old_value,new_value
1,13-02-2025 13:01:03,Job Cost Report,7,Desconocido,STATUS
2,13-02-2025 13:01:03,Job Cost Report,9,Desconocido,In process
3,13-02-2025 13:01:03,Job Cost Report,10,Desconocido,In process
4,13-02-2025 13:01:03,Job Cost Report,11,Desconocido,Approved
5,13-02-2025 13:01:03,Job Cost Report,12,Desconocido,Approved
6,13-02-2025 13:01:03,Job Cost Report,13,Desconocido,Attention
7,13-02-2025 13:01:03,Job Cost Report,14,Desconocido,Attention
8,13-02-2025 13:01:03,Job Cost Report,15,Desconocido,Approved
9,13-02-2025 13:01:03,Job Cost Report,16,Desconocido,Attention
10,13-02-2025 13:01:03,Job Cost Report,17,Desconocido,Attention
11,13-02-2025 13:01:03,Job Cost Report,18,Desconocido,Attention
12,13-02-2025 13:01:03,Job Cost Report,19,Desconocido,Approved
13,13-02-2025 13:01:03,Job Cost Report,20,Desconocido,Attention
14,13-02-2025 13:01:03,Job Cost Report,21,Desconocido,Attention
15,13-02-2025 13:01:03,Job Cost Report,22,Desconocido,Attention
16,13-02-2025 13:01:03,Job Cost Report,23,Desconocido,Approved
17,13-02-2025 13:01:03,Job Cost Report,24,Desconocido,Approved
18,13-02-2025 13:01:03,Job Cost Report,25,Desconocido,Attention
19,13-02-2025 13:01:03,Job Cost Report,28,Desconocido,In process
20,13-02-2025 13:01:03,Job Cost Report,29,Desconocido,Approved
21,13-02-2025 13:01:03,Job Cost Report,30,Desconocido,In process
22,13-02-2025 13:01:03,Job Cost Report,33,Desconocido,Attention
23,13-02-2025 13:01:03,Job Cost Report,34,Desconocido,Approved
24,13-02-2025 13:01:03,Job Cost Report,35,Desconocido,Attention
25,13-02-2025 13:01:03,Job Cost Report,39,Desconocido,In process
26,13-02-2025 13:01:03,Job Cost Report,40,Desconocido,Approved
27,13-02-2025 13:01:03,Job Cost Report,41,Desconocido,Approved
28,13-02-2025 13:01:03,Job Cost Report,42,Desconocido,Approved
29,13-02-2025 13:01:03,Job Cost Report,43,Desconocido,Approved
30,13-02-2025 13:01:03,Job Cost Report,46,Desconocido,In process
31,13-02-2025 13:01:03,Job Cost Report,47,Desconocido,Approved
32,13-02-2025 13:01:03,Job Cost Report,48,Desconocido,In process
33,13-02-2025 13:01:03,Job Cost Report,49,Desconocido,In process
34,13-02-2025 13:01:03,Job Cost Report,50,Desconocido,Approved
35,13-02-2025 13:01:03,Job Cost Report,51,Desconocido,Approved
36,13-02-2025 13:01:03,Job Cost Report,52,Desconocido,Approved
37,13-02-2025 13:01:03,Job Cost Report,53,Desconocido,Approved
38,13-02-2025 13:01:03,Job Cost Report,54,Desconocido,Approved
39,13-02-2025 13:01:03,Job Cost Report,55,Desconocido,Approved
40,13-02-2025 13:01:03,Job Cost Report,56,Desconocido,Approved
41,13-02-2025 13:01:03,Job Cost Report,57,Desconocido,Approved
42,13-02-2025 13:01:03,Job Cost Report,58,Desconocido,Approved
43,13-02-2025 13:01:03,Job Cost Report,61,Desconocido,Approved
44,13-02-2025 13:01:03,Job Cost Report,62,Desconocido,Approved
45,13-02-2025 13:01:03,Job Cost Report,63,Desconocido,Approved
46,13-02-2025 13:01:03,Job Cost Report,64,Desconocido,Approved
47,13-02-2025 13:01:03,Job Cost Report,65,Desconocido,In process
48,13-02-2025 13:01:03,Job Cost Report,68,Desconocido,In process
49,13-02-2025 13:01:03,Job Cost Report,69,Desconocido,In process
50,13-02-2025 13:01:03,Job Cost Report,70,Desconocido,Approved
51,13-02-2025 13:01:03,Job Cost Report,71,Desconocido,Approved
52,13-02-2025 13:01:03,Job Cost Report,72,Desconocido,Approved
53,13-02-2025 13:01:03,Job Cost Report,73,Desconocido,In process
54,13-02-2025 13:01:03,Job Cost Report,74,Desconocido,Approved
55,13-02-2025 13:01:03,Job Cost Report,77,Desconocido,Approved
56,13-02-2025 13:01:03,Job Cost Report,78,Desconocido,Approved
57,13-02-2025 13:01:03,Job Cost Report,79,Desconocido,Approved
58,13-02-2025 13:01:03,Job Cost Report,80,Desconocido,Approved
59,13-02-2025 13:01:03,Job Cost Report,89,Desconocido,Approved
60,13-02-2025 13:01:03,Job Cost Report,90,Desconocido,Approved
61,13-02-2025 13:01:03,Job Cost Report,91,Desconocido,Approved
62,13-02-2025 13:01:03,Job Cost Report,92,Desconocido,Approved
63,13-02-2025 13:01:03,Job Cost Report,93,Desconocido,Approved
64,13-02-2025 13:01:03,Job Cost Report,94,Desconocido,Approved
65,13-02-2025 13:01:03,Job Cost Report,95,Desconocido,Approved
66,13-02-2025 13:01:03,Job Cost Report,99,Desconocido,Approved
67,13-02-2025 13:01:03,Job Cost Report,100,Desconocido,Approved
68,13-02-2025 13:01:03,Job Cost Report,101,Desconocido,Approved
69,13-02-2025 13:01:03,Job Cost Report,102,Desconocido,Approved
70,13-02-2025 13:02:21,Job Cost Report,99,Approved,In process
71,13-02-2025 13:02:21,Job Cost Report,100,Approved,In process
72,13-02-2025 13:02:21,Job Cost Report,101,Approved,In process
73,13-02-2025 13:02:21,Job Cost Report,102,Approved,In process
74,13-02-2025 13:17:39,Job Cost Report,99,Approved,In process
75,13-02-2025 13:17:39,Job Cost Report,100,Approved,In process
76,13-02-2025 13:17:39,Job Cost Report,101,Approved,In process
77,13-02-2025 13:17:39,Job Cost Report,102,Approved,In process
78,13-02-2025 13:24:31,Job Cost Report,99,Approved,In process
79,13-02-2025 13:24:31,Job Cost Report,100,Approved,In process
80,13-02-2025 13:24:31,Job Cost Report,101,Approved,In process
81,13-02-2025 13:24:31,Job Cost Report,102,Approved,In process
82,13-02-2025 14:38:34,Job Cost Report,99,Approved,In process
83,13-02-2025 14:38:34,Job Cost Report,100,Approved,In process
84,13-02-2025 14:38:34,Job Cost Report,101,Approved,In process
85,13-02-2025 14:38:34,Job Cost Report,102,Approved,In process
86,13-02-2025 14:39:38,Job Cost Report,99,Approved,Attention
87,13-02-2025 14:39:38,Job Cost Report,100,Approved,Attention
