id,wbs,week_start,planned_amount,is_painted,fill_rgb,src_col
1,0,2024-10-06,,1,FFCCCCCC,U
2,0,2024-10-13,,1,FFCCCCCC,V
3,0,2024-10-20,,1,FFCCCCCC,W
4,0,2024-10-27,,1,FFCCCCCC,X
5,0,2024-11-03,,1,FFCCCCCC,Y
6,0,2024-11-10,,1,FFCCCCCC,Z
7,0,2024-11-17,,1,FFCCCCCC,AA
8,0,2024-11-24,,1,FFCCCCCC,AB
9,0,2024-12-01,,1,FFCCCCCC,AC
10,0,2024-12-08,,1,FFCCCCCC,AD
11,0,2024-12-15,,1,FFCCCCCC,AE
12,0,2024-12-22,,1,FFCCCCCC,AF
13,0,2025-12-22,,1,FFCCCCCC,AG
14,0,2025-01-05,,1,FFCCCCCC,AH
15,0,2025-01-12,,1,FFCCCCCC,AI
16,0,2025-01-19,,1,FFCCCCCC,AJ
17,0,2025-01-26,,1,FFCCCCCC,AK
18,0,2025-02-02,,1,FFCCCCCC,AL
19,0,2025-02-09,,1,FFCCCCCC,AM
20,0,2025-02-16,,1,FFCCCCCC,AN
21,0,2025-02-23,,1,FFCCCCCC,AO
22,0,2025-03-02,,1,FFCCCCCC,AP
23,0,2025-03-09,,1,FFCCCCCC,AQ
24,0,2025-03-16,,1,FFCCCCCC,AR
25,0,2025-03-23,,1,FFCCCCCC,AS
26,0,2025-04-06,,1,FFCCCCCC,AT
27,0,2025-04-13,,1,FFCCCCCC,AU
28,0,2025-04-20,,1,FFCCCCCC,AV
29,0,2025-04-27,,1,FFCCCCCC,AW
30,0,2025-05-04,,1,FFCCCCCC,AX
31,0,2025-05-11,,1,FFCCCCCC,AY
32,0,2025-05-18,,1,FFCCCCCC,AZ
33,0,2025-05-25,,1,FFCCCCCC,BA
34,0,2025-06-01,,1,FFCCCCCC,BB
35,0,2025-06-08,,1,FFCCCCCC,BC
36,0,2025-06-15,,1,FFCCCCCC,BD
37,0,2025-06-22,,1,FFCCCCCC,BE
38,0,2025-07-06,,1,FFCCCCCC,BF
39,0,2025-07-13,,1,FFCCCCCC,BG
40,0,2025-07-20,,1,FFCCCCCC,BH
41,0,2025-07-27,,1,FFCCCCCC,BI
42,0,2025-08-03,,1,FFCCCCCC,BJ
43,0,2025-08-10,,1,FFCCCCCC,BK
44,0,2025-08-17,,1,FFCCCCCC,BL
45,0,2025-08-24,,1,FFCCCCCC,BM
46,0,2025-09-07,,1,FFCCCCCC,BN
47,0,2025-09-14,,1,FFCCCCCC,BO
48,0,2025-09-21,,1,FFCCCCCC,BP
49,0,2025-09-28,,1,FFCCCCCC,BQ
50,0,2025-10-05,,1,FFCCCCCC,BR
51,0,2025-10-12,,1,FFCCCCCC,BS
52,0,2025-10-19,,1,FFCCCCCC,BT
53,0,2025-10-26,,1,FFCCCCCC,BU
54,0,2025-11-02,,1,FFCCCCCC,BV
55,0,2025-11-09,,1,FFCCCCCC,BW
56,0,2025-11-16,,1,FFCCCCCC,BX
57,0,2025-11-23,,1,FFCCCCCC,BY
58,0,2025-12-07,,1,FFCCCCCC,BZ
59,0,2025-12-14,,1,FFCCCCCC,CA
60,0,2025-12-21,,1,FFCCCCCC,CB
61,0,2025-12-28,,1,FFCCCCCC,CC
62,0,2026-01-05,,1,FFCCCCCC,CD
63,0,2026-01-12,,1,FFCCCCCC,CE
64,0,2026-01-19,,1,FFCCCCCC,CF
65,0,2026-01-26,,1,FFCCCCCC,CG
66,0,2026-02-02,,1,FFCCCCCC,CI
67,0,2026-02-09,,1,FFCCCCCC,CJ
68,0,2026-02-16,,1,FFCCCCCC,CK
69,0,2026-02-23,,1,FFCCCCCC,CL
70,0,2026-03-02,,1,FFCCCCCC,CN
71,0,2026-03-09,,1,FFCCCCCC,CO
72,0,2026-03-16,,1,FFCCCCCC,CP
73,0,2026-03-23,,1,FFCCCCCC,CQ
74,0,2026-03-30,,1,FFCCCCCC,CR
75,0,2026-04-06,,1,FFCCCCCC,CS
76,0,2026-04-13,,1,FFCCCCCC,CT
77,0,2026-04-20,,1,FFCCCCCC,CU
78,0,2026-04-27,,1,FFCCCCCC,CV
79,0,2026-05-04,,1,FFCCCCCC,CW
80,0,2026-05-11,,1,FFCCCCCC,CY
81,0,2026-05-18,,1,FFCCCCCC,CZ
82,0,2026-05-25,,1,FFCCCCCC,DA
83,0,2026-06-01,,1,FFCCCCCC,DC
84,0,2026-06-08,,1,FFCCCCCC,DD
85,0,2026-06-15,,1,FFCCCCCC,DE
86,0,2026-06-22,,1,FFCCCCCC,DF
87,0,2026-06-29,,1,FFCCCCCC,DG
