wbs,task_title,task_owner,category,phase,status,budget_original,budget_change,budget_revised,spend,remaining,forecast,variance,src_row
0,Property Holding Expenses,,,,,,,,,,,,12
0.0001,Due Diligence / Closing Costs,HOVDE,0-Property Acquisition,Phase 1,Completed,388000.0,415720.07,803720.0700000001,803720.0700000001,0.0,803720.0700000001,0.0,13
0.0002,Property Acquisition,Partnership,0-Property Acquisition,Phase 1,In process,11250000.0,0.0,11250000.0,9382599.7,1867400.3000000007,11257599.7,7599.699999999255,14
0.1,Property Interest,Partnership,Overhead,Phase 2,Approved,787500.0,0.0,787500.0,450000.0,337500.0,787500.0,0.0,18
0.1.1,Insurance,Partnership,Overhead,Phase 2,Approved,20000.0,0.0,20000.0,0.0,20000.0,20000.0,0.0,19
0.1.2,Titled Property Annual Taxes,Partnership,Overhead,Phase 2,Attention,75000.0,0.0,75000.0,16011.21,58988.79,91011.20999999999,16011.209999999992,20
0.1.3,Holding Corporation Taxes,Partnership,Overhead,Phase 2,Attention,12600.0,0.0,12600.0,6233.63,6366.37,18833.63,6233.630000000001,21
0.2,Concession/Land Use Leases,Partnership,Overhead,Phase 2,Approved,87000.0,0.0,87000.0,82507.5,4492.5,87000.0,0.0,22
0.3,Escrow and Legal Fees,Sergio Amador,Overhead,Phase 2,Attention,40000.0,10795.05,50795.05,50795.05,0.0,50795.05,0.0,23
0.3.1,Corporation Management,Sergio Amador,Overhead,Phase 2,Attention,15000.0,4686.1,19686.1,19686.1,0.0,19686.1,0.0,24
0.4,Admin Fee Budget + Financial Controller 25% Salary,Partnership,Overhead,Phase 2,Attention,86250.0,7500.0,93750.0,84850.0,8900.0,129350.0,35600.0,25
0.5,Travel Expenses / Ownership,Partnership,Overhead,Phase 2,Approved,24000.0,19641.38,43641.380000000005,43641.38,0.0,43641.38,0.0,26
0.6.1,Farm Manager,Alexis,Overhead,Phase 2,Attention,23000.0,19334.4,42334.4,20437.88,21896.52,42334.399999999994,0.0,27
0.6.2,Farm Worker,TBD,Overhead,Phase 2,Attention,13800.0,2569.41,16369.41,13108.885,3260.5249999999996,24708.885000000002,8339.475000000002,28
0.6.3,CCSS Employee Benefits,,Overhead,Phase 2,Attention,18400.0,0.0,18400.0,0.0,18400.0,18400.000000000004,0.0,29
0.6.4,Main. Equip. / Expendables / Truck / Mula,Blake,Overhead,Phase 2,Approved,62500.0,0.0,62500.0,26043.39,36456.61,63541.39,1041.3899999999994,30
0.6.5,Procore (If we want to implement is system),Blake,Overhead,Phase 2,Approved,21000.0,0.0,21000.0,0.0,21000.0,21000.0,0.0,31
0.7,Development Director,Blake,Overhead,Phase 2,Attention,324874.99999999994,68170.0,393044.99999999994,322420.0,70624.99999999994,491920.0,98875.00000000006,32
0.8,Road Repairs,FyF,Overhead,Phase 2,In process,30000.0,0.0,30000.0,0.0,30000.0,30000.0,0.0,35
0.9,Fallen Trees / Cutting Grass,Alexis/Gustavo,Overhead,Phase 2,Approved,16000.0,24000.0,40000.0,4495.41,35504.59,42335.61,2335.6100000000006,36
0.911,Property Gates,Blake,Overhead,Phase 2,In process,6000.0,1400.0,7400.0,8280.01,-880.0100000000002,8280.01,880.0100000000002,37
1,Preparing Property for Sales,,,,,,,,,,,,39
1.1,Gravel Existing Roads,FyF,Overhead,Phase 3,Attention,80000.0,0.0,80000.0,0.0,80000.0,80000.0,0.0,40
1.2,Opening Views,Tree Man Co.,Overhead,Phase 3,Approved,52800.0,0.0,52800.0,6820.0,45980.0,52800.0,0.0,41
1.3,Opening Paths to Important Areas,Alexis,Overhead,Phase 3,Attention,6480.0,0.0,6480.0,6480.0,0.0,6480.0,0.0,42
1.4,Water System,Blake,Overhead,Phase 3,Attention,155000.0,50314.4,205314.4,205447.31647058824,-132.9164705882431,205447.31647058824,132.9164705882431,43
2,Master Planning,,,,,,,,,,,,46
2.1.1,Pre Workshop,EDSA,CFIA Condo,DESIGN,In process,14500.0,0.0,14500.0,0.0,14500.0,29000.0,14500.0,47
2.1.2,Workshop,EDSA,CFIA Condo,DESIGN,Approved,24500.0,29631.6,54131.6,54131.6,0.0,54131.6,0.0,48
2.1.3,Post Workshop / Conceptual Enlargements,EDSA,CFIA Condo,DESIGN,Approved,48500.0,0.0,48500.0,7500.0,41000.0,48500.0,0.0,49
2.1.4,Travel Expenses MP,EDSA,CFIA Condo,DESIGN,Approved,5000.0,0.0,5000.0,0.0,5000.0,5000.0,0.0,50
2.2,Schematic Design,EDSA,CFIA Condo,DESIGN,Approved,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,51
3,Environmental Permitting,,,,,,,,,,,,53
3.1,"Preliminary environmental study, D1 form",DEHC,Setena D1,STUDIES,In process,14577.0,130000.0,144577.0,147088.95500000002,-2511.9550000000163,182848.815,38271.815,54
3.2,Register Plans with Master Plan Roads,Surveyor,Setena D1,ENGINEERING,Approved,8000.0,30702.5,38702.5,39145.52,-443.0199999999968,39145.52,443.0199999999968,55
3.3,Hydrological study / Discharge Permit,DEHC,Setena D1,STUDIES,In process,8362.0,0.0,8362.0,0.0,8362.0,8362.0,0.0,56
3.4,Master plan analysis and condominium strategy,DEHC,Setena D1,ENGINEERING,In process,12994.999999999998,0.0,12994.999999999998,6571.499999999999,6423.499999999999,19566.5,6571.500000000002,57
3.5,Civil Engineering,,Setena D1,ENGINEERING,Approved,,0.0,0.0,0.0,0.0,0.0,0.0,58
3.5.1,- Schematic design,DEHC,Setena D1,ENGINEERING,Approved,117067.99999999999,0.0,117067.99999999999,35120.399999999994,81947.59999999999,117068.0,0.0,59
3.52,- Construction drawings & quantities,DEHC,Setena D1,ENGINEERING,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
3.6,SETENA review,Government,Setena D1,ENGINEERING,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
